V1,location,date,deaths_mean,deaths_lower,deaths_upper,totdea_mean,totdea_lower,totdea_upper,location_name
1,US,2/6/2020,0,0,0,0,0,0,US
2,US,2/7/2020,0,0,0,0,0,0,US
3,US,2/8/2020,0,0,0,0,0,0,US
4,US,2/9/2020,0,0,0,0,0,0,US
5,US,2/10/2020,0,0,0,0,0,0,US
6,US,2/11/2020,0,0,0,0,0,0,US
7,US,2/12/2020,0,0,0,0,0,0,US
8,US,2/13/2020,0,0,0,0,0,0,US
9,US,2/14/2020,0,0,0,0,0,0,US
10,US,2/15/2020,0,0,0,0,0,0,US
11,US,2/16/2020,0,0,0,0,0,0,US
12,US,2/17/2020,0,0,0,0,0,0,US
13,US,2/18/2020,0,0,0,0,0,0,US
14,US,2/19/2020,0,0,0,0,0,0,US
15,US,2/20/2020,0,0,0,0,0,0,US
16,US,2/21/2020,0,0,0,0,0,0,US
17,US,2/22/2020,0,0,0,0,0,0,US
18,US,2/23/2020,0,0,0,0,0,0,US
19,US,2/24/2020,0,0,0,0,0,0,US
20,US,2/25/2020,0,0,0,0,0,0,US
21,US,2/26/2020,2,2,2,2,2,2,US
22,US,2/27/2020,1,1,1,3,3,3,US
23,US,2/28/2020,2,2,2,5,5,5,US
24,US,2/29/2020,1,1,1,6,6,6,US
25,US,3/1/2020,3,3,3,9,9,9,US
26,US,3/2/2020,2,2,2,11,11,11,US
27,US,3/3/2020,4,4,4,15,15,15,US
28,US,3/4/2020,3,3,3,18,18,18,US
29,US,3/5/2020,4,4,4,22,22,22,US
30,US,3/6/2020,6,6,6,28,28,28,US
31,US,3/7/2020,0,0,0,28,28,28,US
32,US,3/8/2020,8,8,8,36,36,36,US
33,US,3/9/2020,4,4,4,40,40,40,US
34,US,3/10/2020,4,4,4,44,44,44,US
35,US,3/11/2020,6,6,6,50,50,50,US
36,US,3/12/2020,6,6,6,56,56,56,US
37,US,3/13/2020,3,3,3,59,59,59,US
38,US,3/14/2020,10,10,10,69,69,69,US
39,US,3/15/2020,10,10,10,79,79,79,US
40,US,3/16/2020,24,24,24,103,103,103,US
41,US,3/17/2020,24,24,24,127,127,127,US
42,US,3/18/2020,15,15,15,142,142,142,US
43,US,3/19/2020,72,72,72,214,214,214,US
44,US,3/20/2020,47,47,47,261,261,261,US
45,US,3/21/2020,57,57,57,318,318,318,US
46,US,3/22/2020,126,126,126,444,444,444,US
47,US,3/23/2020,116,116,116,560,560,560,US
48,US,3/24/2020,158,158,158,718,718,718,US
49,US,3/25/2020,230,230,230,948,948,948,US
50,US,3/26/2020,266,266,266,1214,1214,1214,US
51,US,3/27/2020,386,386,386,1600,1600,1600,US
52,US,3/28/2020,430,430,430,2030,2030,2030,US
53,US,3/29/2020,447,447,447,2477,2477,2477,US
54,US,3/30/2020,520,520,520,2997,2997,2997,US
55,US,3/31/2020,877,877,877,3874,3874,3874,US
56,US,4/1/2020,899.531,829.975,962,4773.531,4703.975,4836,US
57,US,4/2/2020,1035.759,925.975,1130,5809.29,5628.95,5965.025,US
58,US,4/3/2020,1194.305,1032.975,1333.05,7003.595,6663.95,7300.025,US
59,US,4/4/2020,1359.884,1132.95,1555.075,8363.479,7795,8857,US
60,US,4/5/2020,1529.155,1227.875,1790.025,9892.634,9022.875,10646.25,US
61,US,4/6/2020,1699.329,1308.875,2036,11591.963,10332.725,12682.25,US
62,US,4/7/2020,1864.725,1369.925,2288.025,13456.688,11705.45,14969.3,US
63,US,4/8/2020,2024.569,1422.975,2548,15481.257,13136.15,17518.2,US
64,US,4/9/2020,2168.701,1448.975,2797.05,17649.958,14595.85,20317.15,US
65,US,4/10/2020,2296.365,1460.875,3043,19946.323,16049.85,23361.075,US
66,US,4/11/2020,2407.168,1454.825,3281,22353.491,17493.9,26631.35,US
67,US,4/12/2020,2496.079,1424.775,3492.1,24849.57,18909.075,30117.7,US
68,US,4/13/2020,2562.856,1378.775,3687.1,27412.426,20279.45,33802.05,US
69,US,4/14/2020,2609.516,1327.825,3864.025,30021.942,21600.775,37661.35,US
70,US,4/15/2020,2637.016,1270.975,4016.05,32658.958,22871,41670.625,US
71,US,4/16/2020,2644.415,1215.8,4136.225,35303.373,24103.725,45806.85,US
72,US,4/17/2020,2633.767,1151.875,4235.3,37937.14,25254.35,50042.15,US
73,US,4/18/2020,2606.815,1091.8,4313.275,40543.955,26349.975,54350.55,US
74,US,4/19/2020,2565.337,1028.9,4365.25,43109.292,27383.75,58715.85,US
75,US,4/20/2020,2511.542,975.825,4399,45620.834,28359.575,63114.95,US
76,US,4/21/2020,2447.636,914.9,4404.125,48068.47,29278.375,67519.275,US
77,US,4/22/2020,2375.041,863.9,4392.075,50443.511,30142.275,71914.2,US
